seed,device,data/name,data/batch_size,model/dim,optim/lr,method/name,method/fairret,method/statistic,method/fairness_strength,training/max_epochs,data/main_sens_format,val/hard/binary/eq_opp,test/hard/binary/f1_score_eq,val/soft/intersectional/pred_par,val/auroc,training/loss,test/hard/parallel/eq_opp,val/soft/binary/dem_par,test/hard/binary/dem_par,val/soft/intersectional/acc_eq,test/hard/intersectional/acc_eq,test/soft/intersectional/eq_opp,val/hard/parallel/forp,val/hard/binary/acc_eq,val/hard/binary/dem_par,test/hard/intersectional/dem_par,test/soft/binary/pred_par,test/hard/intersectional/pred_eq,test/hard/intersectional/f1_score_eq,test/accuracy,training_time,val/hard/parallel/pred_eq,val/soft/parallel/pred_eq,val/f1_score,test/f1_score,val/hard/binary/forp,test/soft/binary/forp,val/soft/binary/f1_score_eq,val/hard/intersectional/f1_score_eq,_runtime,test/soft/parallel/forp,test/soft/binary/dem_par,val/hard/parallel/pred_par,test/soft/parallel/acc_eq,test/soft/intersectional/forp,test/hard/parallel/f1_score_eq,test/soft/parallel/f1_score_eq,val/hard/intersectional/acc_eq,test/soft/intersectional/pred_eq,val/hard/parallel/eq_opp,test/hard/parallel/acc_eq,test/hard/binary/pred_eq,test/soft/parallel/dem_par,val/soft/parallel/eq_opp,test/soft/parallel/pred_eq,val/hard/intersectional/pred_par,training/val_loss,test/hard/parallel/forp,test/hard/binary/forp,val/hard/binary/f1_score_eq,test/hard/intersectional/eq_opp,test/soft/intersectional/acc_eq,test/auroc,val/hard/parallel/dem_par,val/soft/parallel/dem_par,test/hard/parallel/pred_eq,val/hard/intersectional/forp,val/hard/parallel/f1_score_eq,val/soft/intersectional/eq_opp,val/soft/intersectional/dem_par,val/soft/binary/forp,test/hard/parallel/dem_par,val/hard/binary/pred_par,test/hard/binary/pred_par,val/soft/intersectional/pred_eq,val/soft/binary/pred_eq,val/soft/intersectional/forp,test/soft/intersectional/pred_par,val/soft/intersectional/f1_score_eq,val/hard/parallel/acc_eq,val/soft/binary/eq_opp,test/soft/binary/acc_eq,test/soft/binary/eq_opp,test/hard/parallel/pred_par,test/hard/intersectional/forp,val/soft/parallel/acc_eq,test/soft/parallel/eq_opp,val/hard/binary/pred_eq,test/soft/binary/pred_eq,test/soft/binary/f1_score_eq,postprocess_time,val/soft/binary/acc_eq,val/soft/parallel/pred_par,test/soft/parallel/pred_par,val/hard/intersectional/pred_eq,test/soft/intersectional/dem_par,test/hard/intersectional/pred_par,test/soft/intersectional/f1_score_eq,val/soft/parallel/forp,val/soft/binary/pred_par,val/hard/intersectional/dem_par,val/soft/parallel/f1_score_eq,val/hard/intersectional/eq_opp,val/accuracy,preprocess_time,test/hard/binary/acc_eq,test/hard/binary/eq_opp,method/grid_size,model/dropout_strength,optim/weight_decay_str,method/adv_dim,method/label_given,method/reconstruction_strength
4,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,5000.0,80.0,binary,0.0,0.0339065790176391,0.1362781524658203,0.659607470035553,0.4906345009803772,0.0,0.0046707391738891,0.0,0.1037875413894653,0.390070915222168,0.0363988876342773,,0.0156781673431396,0.0,0.0,0.0643947124481201,0.0,0.2600472569465637,0.819767415523529,13.994935029186308,0.0,0.0307925343513488,0.9379844665527344,0.9009584784507751,,0.0598150491714477,0.0092740058898925,0.0760329961776733,17.56357765197754,0.1107304692268371,0.0048120021820068,0.1095868349075317,0.0627317428588867,0.419992983341217,0.0528604984283447,0.0465072989463806,0.134175956249237,0.0368382930755615,0.0,0.0921985507011413,0.0,0.0130224227905273,0.0106902122497558,0.0201939344406127,0.134175956249237,0.3620339532693227,,,0.008264422416687,0.0,0.2735154032707214,0.6380690932273865,0.0,0.0100492238998413,0.0,,0.0553468465805053,0.0152966976165771,0.0144564509391784,0.0185679197311401,0.0,0.0156781673431396,0.0634660720825195,1.0,0.0076205730438232,0.1616366505622863,0.3843160271644592,0.0707364678382873,0.1095868349075317,0.0040392279624938,0.0439372062683105,0.0039430260658264,0.0921985507011413,,0.0753954648971557,0.011674165725708,0.0,0.0162227153778076,0.0289007425308227,0.0002472950145602,0.0144647359848022,0.1065390110015869,0.0876868367195129,1.0,0.0267115831375122,0.390070915222168,0.2264202833175659,0.1231069564819336,0.0149728059768676,0.0,0.046352744102478,0.0,0.8832116723060608,0.5731003964319825,0.0634660720825195,0.0,,,,,,
3,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,5000.0,80.0,binary,0.0,0.0239880084991455,0.1474462747573852,0.4380471408367157,0.4994758069515228,0.0,0.0021687746047973,0.0,0.1047799587249756,0.2210144996643066,0.01740163564682,,0.0147896409034729,0.0,0.0,0.0422629714012146,0.0,0.1360089182853698,0.8023256063461304,13.791530257090926,0.0,0.0165417194366455,0.8906882405281067,0.8903225660324097,,0.0430890917778015,0.0067005157470703,0.085185170173645,17.200517654418945,0.1466397047042846,0.0012292861938476,0.1070708036422729,0.051450490951538,0.3096759915351867,0.0579710006713867,0.0417822003364563,0.1458182334899902,0.0576837062835693,0.0,0.0998390316963195,0.0,0.004472017288208,0.0093847513198852,0.03408944606781,0.1458182334899902,0.4760789076487223,,,0.0082575678825378,0.0,0.1538363695144653,0.5323955416679382,0.0,0.0096690654754638,0.0,,0.0566844940185546,0.0148371458053588,0.0103832483291625,0.0134553909301757,0.0,0.0147896409034729,0.0424178838729858,0.0243630409240722,0.0030882954597473,0.1511657834053039,0.1997899413108825,0.0766991972923278,0.1070708036422729,0.0018587112426757,0.0293455123901367,0.001391053199768,0.0998390316963195,,0.0780526399612426,0.0101796388626098,0.0,0.0016868710517883,0.0209702849388122,0.0001842193305492,0.009657084941864,0.1079784631729126,0.088464081287384,0.0,0.0117185115814208,0.2210144996643066,0.1181238293647766,0.1033555269241333,0.0150944590568542,0.0,0.0516660213470459,0.0,0.8029196858406067,0.6499426187947392,0.0424178838729858,0.0,,,,,,
2,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,5000.0,80.0,binary,0.0,0.0116910934448242,0.6084936261177063,0.5060664415359497,0.4967229763666789,0.0,0.0005013942718505,0.0,0.4728384017944336,0.2732393741607666,0.030840516090393,,0.0733617544174194,0.0,0.0,0.0228230953216552,0.0,0.1707746386528015,0.8255813717842102,12.860522041097283,0.0,0.0509865283966064,0.8816326260566711,0.9044585824012756,,0.016422152519226,0.0353882312774658,0.4328703284263611,16.076581716537476,0.1678919792175293,0.0053808689117431,0.113189697265625,0.1070401072502136,0.198796272277832,0.0928132534027099,0.079412817955017,0.5771604776382446,0.0667977333068847,0.0,0.1573790311813354,0.0,0.0077894926071166,0.0066284537315368,0.0204059481620788,0.5771604776382446,0.6237189372380575,,,0.0397377014160156,0.0,0.2342237234115601,0.547183096408844,0.0,0.0049924850463867,0.0,,0.0602859258651733,0.063230812549591,0.013780653476715,0.0758914947509765,0.0,0.0733617544174194,0.0215510129928588,1.0,0.0027738809585571,0.4412159323692322,0.2913706302642822,0.4498516321182251,0.113189697265625,7.843971252441406e-05,0.0138020515441894,0.0041422843933105,0.1573790311813354,,0.089722990989685,0.0097044110298156,0.0,0.0126706957817077,0.0090160369873046,0.0001916782930493,0.0512052774429321,0.1166877746582031,0.1549965143203735,1.0,0.0127944350242614,0.2732393741607666,0.1799714565277099,0.1131144762039184,0.0727427005767822,0.0,0.0592228174209594,0.0,0.7883211970329285,0.6879947194829583,0.0215510129928588,0.0,,,,,,
1,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,5000.0,80.0,binary,0.0,0.0247542858123779,0.2902409434318542,0.675675630569458,0.5007221433851454,0.0,0.0075887441635131,0.0,0.2007086277008057,0.2979591488838196,0.0125263929367065,,0.0427150726318359,0.0,0.0,0.0451246500015258,0.0,0.1862244606018066,0.854651153087616,13.8764789653942,0.0,0.0191782712936401,0.8951612710952759,0.921630084514618,,0.0544797182083129,0.0243890285491943,0.1875511407852172,17.774543046951294,0.145439863204956,0.0026872158050537,0.1900337934494018,0.0949074029922485,0.2959737777709961,0.0793650150299072,0.0679223537445068,0.2947232723236084,0.029634416103363,0.0,0.1378446221351623,0.0,0.0052050352096557,0.0230190753936767,0.015843391418457,0.2947232723236084,0.4825884302457173,,,0.0231540203094482,0.0,0.2210503220558166,0.5436734557151794,0.0,0.012688398361206,0.0,,0.1147373914718628,0.031067669391632,0.0219189524650573,0.0438556671142578,0.0,0.0427150726318359,0.0469030141830444,0.0289728641510009,0.0049444437026977,0.3169196844100952,0.2984338402748108,0.1609352827072143,0.1900337934494018,0.0071799755096435,0.0333406925201416,0.0009840726852416,0.1378446221351623,,0.1165247559547424,0.0072330236434936,0.0,0.015843391418457,0.0219595432281494,0.0001764511689543,0.0361154079437255,0.1817711591720581,0.1361052393913269,0.0,0.0115604400634765,0.2979591488838196,0.1742819547653198,0.228466510772705,0.0422921180725097,0.0,0.0904972553253173,0.0,0.8102189898490906,0.9336640574038028,0.0469030141830444,0.0,,,,,,
0,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,5000.0,80.0,binary,0.0,0.0071859955787658,0.3108366131782532,0.4241037368774414,0.5103642278247409,0.0,0.0026991963386535,0.0,0.2198563814163208,0.1348087787628173,0.0082529783248901,,0.0388046503067016,0.0,0.0,0.0131165981292724,0.0,0.0786384940147399,0.8255813717842102,12.499817544594409,0.0,0.0167211294174194,0.908366560935974,0.9044585824012756,,0.0127272605895996,0.0184439420700073,0.19936203956604,15.744678258895874,0.0905632376670837,5.429983139038086e-05,0.1737938523292541,0.0834449529647827,0.1271083950996399,0.0618864297866821,0.0588488578796386,0.3132831454277038,0.0259038209915161,0.0,0.1074870228767395,0.0,0.0034204721450805,0.0058244466781616,0.0170687437057495,0.3132831454277038,0.4886197944482167,,,0.0208133459091186,0.0,0.0985544323921203,0.5512910485267639,0.0,0.0035383701324462,0.0,,0.1029890179634094,0.0097020864486694,0.010515809059143,0.0338697433471679,0.0,0.0388046503067016,0.0130411982536315,0.0675995349884033,0.0086185336112976,0.3230085968971252,0.1366249322891235,0.1807621121406555,0.1737938523292541,0.0015161633491516,0.0096068978309631,0.0001307129859924,0.1074870228767395,,0.1275768280029297,0.0041298866271972,0.0,0.0004563331604003,0.0065875649452209,0.0002552168443799,0.0278540849685668,0.1747035980224609,0.1114894151687622,0.0,0.0068687200546264,0.1348087787628173,0.0713644027709961,0.1702775955200195,0.040036916732788,0.0,0.0960137248039245,0.0,0.8321167826652527,0.5586786065250635,0.0130411982536315,0.0,,,,,,
4,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,10.0,80.0,binary,0.0,0.0339065790176391,0.1362504363059997,0.6828511953353882,0.4891114864084456,0.0,0.004551887512207,0.0,0.1038207411766052,0.390070915222168,0.0363701581954956,,0.0156781673431396,0.0,0.0,0.0643105506896972,0.0,0.2600472569465637,0.819767415523529,13.936650279909372,0.0,0.0317600965499877,0.9379844665527344,0.9009584784507751,,0.0601556301116943,0.0091432332992553,0.0760329961776733,17.24823522567749,0.1122170686721801,0.0041536688804626,0.1095868349075317,0.0622428655624389,0.4229304194450378,0.0528604984283447,0.0462415814399719,0.134175956249237,0.0367658138275146,0.0,0.0921985507011413,0.0,0.013002872467041,0.0114597082138061,0.0200567245483398,0.134175956249237,0.360531489054362,,,0.008264422416687,0.0,0.2726470232009887,0.6577442288398743,0.0,0.010561466217041,0.0,,0.0553468465805053,0.0160448551177978,0.0153239369392395,0.0188696384429931,0.0,0.0156781673431396,0.0634660720825195,1.0,0.0077719688415527,0.1647798418998718,0.3837515115737915,0.0706983804702758,0.1095868349075317,0.003849446773529,0.04438316822052,0.0033627748489379,0.0921985507011413,,0.0751069784164428,0.0118039846420288,0.0,0.0161110162734985,0.0291770696640014,0.000232052989304,0.0142428874969482,0.1063073873519897,0.0873249769210815,1.0,0.0257424116134643,0.390070915222168,0.2260105013847351,0.1242085695266723,0.0149039030075073,0.0,0.0461807250976562,0.0,0.8832116723060608,0.7124925926327705,0.0634660720825195,0.0,,,,,,
3,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,10.0,80.0,binary,0.0,0.0239880084991455,0.1474795341491699,0.4387204945087433,0.4993250370025635,0.0,0.0021817684173583,0.0,0.1048928499221801,0.2210144996643066,0.0173858404159545,,0.0147896409034729,0.0,0.0,0.042227029800415,0.0,0.1360089182853698,0.8023256063461304,13.29801676236093,0.0,0.0164839029312133,0.8906882405281067,0.8903225660324097,,0.0432415604591369,0.0067083239555358,0.085185170173645,16.90319538116455,0.1462470889091491,0.0012400150299072,0.1070708036422729,0.0515574812889099,0.3095210194587707,0.0579710006713867,0.0418034791946411,0.1458182334899902,0.0573590397834777,0.0,0.0998390316963195,0.0,0.0043779611587524,0.0091086626052856,0.0335209369659423,0.1458182334899902,0.4759191572666168,,,0.0082575678825378,0.0,0.1539123654365539,0.5321823954582214,0.0,0.009488821029663,0.0,,0.0566844940185546,0.0146631002426147,0.0103156566619873,0.0133976936340332,0.0,0.0147896409034729,0.0424178838729858,0.0241099596023559,0.0031635761260986,0.1514042615890503,0.199828565120697,0.0766283273696899,0.1070708036422729,0.0018577575683593,0.0292760729789733,0.0014394521713256,0.0998390316963195,,0.0781513452529907,0.0102788209915161,0.0,0.0015555024147033,0.0209295153617858,0.0002301717177033,0.0096760988235473,0.107983112335205,0.0885791182518005,0.0,0.0115631222724914,0.2210144996643066,0.1181449890136718,0.1033356189727783,0.0151082277297973,0.0,0.0517189502716064,0.0,0.8029196858406067,0.7597448723390698,0.0424178838729858,0.0,,,,,,
2,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,10.0,80.0,binary,0.0,0.0116910934448242,0.6083300709724426,0.5044699907302856,0.496826301018397,0.0,0.000318169593811,0.0,0.4725825190544128,0.2732393741607666,0.030310571193695,,0.0733617544174194,0.0,0.0,0.0228466987609863,0.0,0.1707746386528015,0.8255813717842102,13.341168282553554,0.0,0.0507526397705078,0.8816326260566711,0.9044585824012756,,0.0163285732269287,0.0353332757949829,0.4328703284263611,16.7442889213562,0.1678173542022705,0.0054748654365539,0.113189697265625,0.1070579290390014,0.1987842917442321,0.0928132534027099,0.0794460773468017,0.5771604776382446,0.0678417682647705,0.0,0.1573790311813354,0.0,0.0078403353691101,0.0067029595375061,0.0202860236167907,0.5771604776382446,0.6240550180276235,,,0.0397377014160156,0.0,0.2340201735496521,0.5448356866836548,0.0,0.004941701889038,0.0,,0.0602859258651733,0.0625584125518798,0.014027714729309,0.07570481300354,0.0,0.0733617544174194,0.0215510129928588,1.0,0.0025388002395629,0.441821277141571,0.291346788406372,0.4495657682418823,0.113189697265625,0.0002248287200927,0.0137677192687988,0.0042133927345275,0.1573790311813354,,0.089685320854187,0.00974041223526,0.0,0.0128502249717712,0.0089898109436035,0.0002434020861983,0.051127552986145,0.1166839599609375,0.1550086140632629,1.0,0.0128032565116882,0.2732393741607666,0.1797552108764648,0.112849473953247,0.0727878808975219,0.0,0.0592091083526611,0.0,0.7883211970329285,0.7416529422625899,0.0215510129928588,0.0,,,,,,
1,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,10.0,80.0,binary,0.0,0.0247542858123779,0.292108952999115,0.6701316833496094,0.500932859049903,0.0,0.008406639099121,0.0,0.2032328248023986,0.2979591488838196,0.0108463764190673,,0.0427150726318359,0.0,0.0,0.0450044870376586,0.0,0.1862244606018066,0.854651153087616,13.123009961098433,0.0,0.019702672958374,0.8951612710952759,0.921630084514618,,0.0549407005310058,0.0245366096496582,0.1875511407852172,16.214163064956665,0.1441519856452942,0.0019153356552124,0.1900337934494018,0.0951859951019287,0.2971854209899902,0.0793650150299072,0.0680837035179138,0.2947232723236084,0.0321840047836303,0.0,0.1378446221351623,0.0,0.0055006742477416,0.022853136062622,0.016054630279541,0.2947232723236084,0.484660933415095,,,0.0231540203094482,0.0,0.2199777364730835,0.540408194065094,0.0,0.0118631124496459,0.0,,0.1147373914718628,0.0305647850036621,0.0227273702621459,0.0450160503387451,0.0,0.0427150726318359,0.0469030141830444,0.0296884775161743,0.0073745250701904,0.308710515499115,0.2981370687484741,0.1616030931472778,0.1900337934494018,0.007731556892395,0.0323816537857055,9.846687316894533e-05,0.1378446221351623,,0.115637719631195,0.0071861743927001,0.0,0.016054630279541,0.0214209556579589,0.00022788438946,0.0362087488174438,0.1812366247177124,0.136399507522583,0.0,0.0106709003448486,0.2979591488838196,0.173533022403717,0.2304485440254211,0.0420171022415161,0.0,0.090199589729309,0.0,0.8102189898490906,0.581422601826489,0.0469030141830444,0.0,,,,,,
0,cpu,SchoolPerformanceUnbiased,64.0,[64],0.001,LearningFairRepr,,,10.0,80.0,binary,0.0,0.0071859955787658,0.3108599185943603,0.4260106980800628,0.5102034078703986,0.0,0.0025967955589294,0.0,0.2199298739433288,0.1348087787628173,0.0082703828811645,,0.0388046503067016,0.0,0.0,0.0131155848503112,0.0,0.0786384940147399,0.8255813717842102,13.07578274514526,0.0,0.016741931438446,0.908366560935974,0.9044585824012756,,0.0127319693565368,0.0184814929962158,0.19936203956604,16.546525955200195,0.0906102061271667,6.747245788574219e-05,0.1737938523292541,0.0834079384803772,0.127234399318695,0.0618864297866821,0.0588255524635314,0.3132831454277038,0.0261998176574707,0.0,0.1074870228767395,0.0,0.0034445524215698,0.005868911743164,0.0171034336090087,0.3132831454277038,0.4885551730791728,,,0.0208133459091186,0.0,0.0985501408576965,0.5530516505241394,0.0,0.0035744905471801,0.0,,0.1029890179634094,0.009702444076538,0.0105102062225341,0.0339384078979492,0.0,0.0388046503067016,0.0130411982536315,0.0672572255134582,0.0084349513053894,0.3229096531867981,0.1365965604782104,0.1808512806892395,0.1737938523292541,0.0014298558235168,0.009516417980194,7.927417755126953e-06,0.1074870228767395,,0.127619981765747,0.0040833950042724,0.0,0.0005818605422973,0.0065257549285888,0.00020860042423,0.0279067754745483,0.1747184991836548,0.1114781498908996,0.0,0.0069692730903625,0.1348087787628173,0.0713797211647033,0.1702187657356262,0.0400199890136718,0.0,0.0960447192192077,0.0,0.8321167826652527,0.9413675284013152,0.0130411982536315,0.0,,,,,,
