seed,device,data/name,data/batch_size,model/dim,optim/lr,method/name,method/fairret,method/statistic,method/fairness_strength,training/max_epochs,data/main_sens_format,val/hard/binary/eq_opp,test/hard/binary/f1_score_eq,val/soft/intersectional/pred_par,val/auroc,training/loss,test/hard/parallel/eq_opp,val/soft/binary/dem_par,test/hard/binary/dem_par,val/soft/intersectional/acc_eq,test/hard/intersectional/acc_eq,test/soft/intersectional/eq_opp,val/hard/parallel/forp,val/hard/binary/acc_eq,val/hard/binary/dem_par,test/hard/intersectional/dem_par,test/soft/binary/pred_par,test/hard/intersectional/pred_eq,test/hard/intersectional/f1_score_eq,test/accuracy,training_time,val/hard/parallel/pred_eq,val/soft/parallel/pred_eq,val/f1_score,test/f1_score,val/hard/binary/forp,test/soft/binary/forp,val/soft/binary/f1_score_eq,val/hard/intersectional/f1_score_eq,_runtime,test/soft/parallel/forp,test/soft/binary/dem_par,val/hard/parallel/pred_par,test/soft/parallel/acc_eq,test/soft/intersectional/forp,test/hard/parallel/f1_score_eq,test/soft/parallel/f1_score_eq,val/hard/intersectional/acc_eq,test/soft/intersectional/pred_eq,val/hard/parallel/eq_opp,test/hard/parallel/acc_eq,test/hard/binary/pred_eq,test/soft/parallel/dem_par,val/soft/parallel/eq_opp,test/soft/parallel/pred_eq,val/hard/intersectional/pred_par,training/val_loss,test/hard/parallel/forp,test/hard/binary/forp,val/hard/binary/f1_score_eq,test/hard/intersectional/eq_opp,test/soft/intersectional/acc_eq,test/auroc,val/hard/parallel/dem_par,val/soft/parallel/dem_par,test/hard/parallel/pred_eq,val/hard/intersectional/forp,val/hard/parallel/f1_score_eq,val/soft/intersectional/eq_opp,val/soft/intersectional/dem_par,val/soft/binary/forp,test/hard/parallel/dem_par,val/hard/binary/pred_par,test/hard/binary/pred_par,val/soft/intersectional/pred_eq,val/soft/binary/pred_eq,val/soft/intersectional/forp,test/soft/intersectional/pred_par,val/soft/intersectional/f1_score_eq,val/hard/parallel/acc_eq,val/soft/binary/eq_opp,test/soft/binary/acc_eq,test/soft/binary/eq_opp,test/hard/parallel/pred_par,test/hard/intersectional/forp,val/soft/parallel/acc_eq,test/soft/parallel/eq_opp,val/hard/binary/pred_eq,test/soft/binary/pred_eq,test/soft/binary/f1_score_eq,postprocess_time,val/soft/binary/acc_eq,val/soft/parallel/pred_par,test/soft/parallel/pred_par,val/hard/intersectional/pred_eq,test/soft/intersectional/dem_par,test/hard/intersectional/pred_par,test/soft/intersectional/f1_score_eq,val/soft/parallel/forp,val/soft/binary/pred_par,val/hard/intersectional/dem_par,val/soft/parallel/f1_score_eq,val/hard/intersectional/eq_opp,val/accuracy,preprocess_time,test/hard/binary/acc_eq,test/hard/binary/eq_opp,method/grid_size,model/dropout_strength,optim/weight_decay_str,method/adv_dim,method/label_given,method/reconstruction_strength
4,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,intersectional,,0.0241692066192626,,,3.655340172132009,0.3754851222038269,,0.0865545868873596,,0.3261151313781738,0.827070951461792,,,,1.047179937362671,0.1455336213111877,1.0,1.0,0.7540823221206665,2246.242672322784,,,,0.633918821811676,,0.2649214267730713,,,2449.083551645279,0.5792021155357361,0.0651419758796691,,0.0913523435592651,1.0067379474639893,0.3086161613464355,0.3331408500671386,,0.5328679084777832,,0.0988873243331909,0.0043122768402099,0.2936277389526367,,0.2151640057563781,,,0.6015021204948425,0.2960447669029236,,1.0,0.2714642286300659,0.8160212635993958,,,0.438469648361206,,,,,,0.5514572858810425,,0.1006825566291809,,,,0.9790076613426208,,,,0.0325636863708496,0.0201919078826904,0.2588793635368347,1.1874511241912842,,0.2393891215324402,,0.0249632596969604,0.0701985359191894,0.0002557677216827,,,0.4268717169761657,,0.542514443397522,1.0,0.962632179260254,,,,,,,0.0005137771368026,0.0400938987731933,0.0491484403610229,,,,[16],False,1.0
3,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,intersectional,,0.0028514266014099,,,3.6099235092659856,0.3853290677070617,,0.0641939640045166,,0.3139302730560303,1.0,,,,1.089508056640625,0.1362560987472534,1.0603454113006592,1.0,0.7610753774642944,2290.1283060102724,,,,0.641778826713562,,0.2694896459579468,,,2486.516852617264,0.5753833055496216,0.0565271377563476,,0.0916130542755127,1.2289934158325195,0.3094406127929687,0.3357389569282532,,0.4731255769729614,,0.1011842489242553,0.0288858413696289,0.3283161520957947,,0.2231422066688537,,,0.6027429103851318,0.3180978298187256,,1.0,0.2821323871612549,0.8232687711715698,,,0.4917998313903808,,,,,,0.5856564044952393,,0.0901568531990051,,,,1.0,,,,0.0341534614562988,0.0342875719070434,0.2325480580329895,1.5821828842163086,,0.2468674778938293,,0.0163098573684692,0.0580951571464538,0.0001203529536724,,,0.4223654866218567,,0.6341637372970581,1.0,1.0,,,,,,,0.0003575570881366,0.0445048809051513,0.0806355476379394,,,,[16],False,1.0
2,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,intersectional,,0.0099039673805236,,,3.581409080277149,0.3696554899215698,,0.0817877650260925,,0.2348212003707885,0.8650429844856262,,,,0.975060224533081,0.1314709186553955,1.0,1.0,0.7693421244621277,2198.5981631148607,,,,0.6642765402793884,,0.2770155668258667,,,2410.993679523468,0.5823808908462524,0.0630418062210083,,0.0900479555130004,1.1219000816345217,0.296237587928772,0.3198224306106567,,0.5079240798950195,,0.0895453691482544,0.003583550453186,0.3267134428024292,,0.227219820022583,,,0.6106451749801636,0.3244641423225403,,1.0,0.2294836044311523,0.8319834470748901,,,0.4442749619483948,,,,,,0.5573867559432983,,0.086633563041687,,,,0.9757352471351624,,,,0.0349776744842529,0.0353119373321533,0.2416472434997558,1.3243510723114014,,0.2531967163085937,,0.0240516662597656,0.0550645589828491,0.0001269169151782,,,0.4043861627578735,,0.6240308284759521,1.0,0.9587549567222596,,,,,,,0.0005350457504391,0.0408785343170166,0.0669764280319213,,,,[16],False,1.0
1,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,intersectional,,0.0148748159408569,,,3.888636195734107,0.3909274935722351,,0.0713421702384948,,0.2743126153945923,0.5742126703262329,,,,1.064460277557373,0.1550054550170898,1.3407833576202393,1.0,0.7349354028701782,2342.438528414816,,,,0.5769042372703552,,0.2482897639274597,,,2551.4074239730835,0.5700486898422241,0.038918137550354,,0.0970450639724731,0.9179191589355468,0.306504487991333,0.3349095582962036,,0.3313614726066589,,0.1237804889678955,0.0277251601219177,0.282934308052063,,0.191848337650299,,,0.582750141620636,0.2703591585159302,,1.0,0.1757004261016845,0.7927863001823425,,,0.4176042079925537,,,,,,0.5295175313949585,,0.101248025894165,,,,0.804498016834259,,,,0.0313398838043212,0.0275758504867553,0.276987075805664,1.0321052074432373,,0.2300509810447693,,0.0080348253250122,0.0706730484962463,0.0001599071547389,,,0.435598611831665,,0.4940487146377563,1.0,0.7298875451087952,,,,,,,0.000524478033185,0.0488990545272827,0.0560759305953979,,,,[16],False,1.0
0,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,intersectional,,0.0094271898269653,,,3.5788189667111,0.3441463708877563,,0.0760839581489563,,0.3490342497825622,0.4706519246101379,,,,1.0,0.136281669139862,1.0,1.0,0.7680895328521729,2183.939510172698,,,,0.6629352569580078,,0.2801038026809692,,,2388.443434715271,0.5827581286430359,0.0609943866729736,,0.0870505571365356,1.090806484222412,0.3001634478569031,0.3289247751235962,,0.4351306557655334,,0.0886648893356323,0.0052381753921508,0.3241224288940429,,0.2311054468154907,,,0.6105160117149353,0.3337340950965881,,1.0,0.1922107338905334,0.8306272029876709,,,0.4505733847618103,,,,,,0.5522868633270264,,0.0901801586151123,,,,0.6844022274017334,,,,0.0335814952850341,0.0354700088500976,0.2449487447738647,1.693120002746582,,0.2387709021568298,,0.0215739011764526,0.0586943626403808,0.0002509760670363,,,0.4087880849838257,,0.5469479560852051,1.0,0.5705535411834717,,,,,,,0.0006312979385256,0.040962815284729,0.0732110738754272,,,,[16],False,1.0
4,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,binary,,0.009459376335144,,,1.268270087322325,0.3375903367996216,,0.0758395791053772,,0.2962840795516968,0.937355101108551,,,,0.953710913658142,0.1329061985015869,1.0,1.0,0.7714358568191528,2006.076676855795,,,,0.6714140772819519,,0.282123863697052,,,2212.081713438034,0.5844124555587769,0.0663704872131347,,0.0915402173995971,1.0732455253601074,0.2887488007545471,0.3204159736633301,,0.6188480257987976,,0.0853215456008911,0.0050472021102905,0.3307780027389526,,0.2159461975097656,,,0.6073797941207886,0.3418288826942444,,1.0,0.2948173284530639,0.8362328410148621,,,0.4480236768722534,,,,,,0.5538749098777771,,0.0896835923194885,,,,0.9905505180358888,,,,0.0338717699050903,0.0339080095291137,0.2433525919914245,1.3214671611785889,,0.2377418279647827,,0.0270658731460571,0.057309091091156,0.0003459062427282,,,0.4021363854408264,,0.5631566047668457,1.0,0.9836496114730836,,,,,,,0.000414771027863,0.0397825241088867,0.0744370222091674,,,,[16],False,1.0
3,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,binary,,0.0081728100776672,,,1.263225266304456,0.3519439697265625,,0.0702341198921203,,0.2984429597854614,1.0,,,,1.0,0.1327640414237976,1.0,1.0,0.7701532244682312,1998.765228840988,,,,0.6693116426467896,,0.2741327285766601,,,2198.506725549698,0.5785092115402222,0.0616099834442138,,0.0926257371902465,1.4140872955322266,0.3047614097595215,0.3318595886230469,,0.4348206520080566,,0.0866539478302002,0.0120651125907897,0.3399996161460876,,0.2117809057235717,,,0.6038703918457031,0.3356688022613525,,1.0,0.2242236137390136,0.8350818157196045,,,0.4720791578292846,,,,,,0.5744736790657043,,0.0886200666427612,,,,1.0,,,,0.0321178436279296,0.032874584197998,0.2421402931213379,1.815435647964477,,0.2309439182281494,,0.0208173990249633,0.0576125383377075,9.278394281864166e-05,,,0.4135995507240295,,0.5657404661178589,1.0,1.0,,,,,,,0.0008990527130663,0.0392497777938842,0.0754740238189697,,,,[16],False,1.0
2,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,binary,,0.0146450400352478,,,1.263818356980503,0.3451709151268005,,0.0885284543037414,,0.2994363307952881,0.8677339553833008,,,,0.9488329887390136,0.1307703852653503,1.0,1.0,0.7695644497871399,1913.3034198470416,,,,0.6683670878410339,,0.2747780680656433,,,2131.1385626792908,0.5836872458457947,0.0700490474700927,,0.0929347276687622,1.111879587173462,0.2823002338409424,0.3174359202384949,,0.4879499673843384,,0.0874522924423217,0.0167150497436523,0.3305962681770324,,0.2210931777954101,,,0.6063981056213379,0.3210570216178894,,1.0,0.2322143316268921,0.8355959057807922,,,0.4356507658958435,,,,,,0.5447523593902588,,0.0868293642997741,,,,0.9751772284507751,,,,0.0338923931121826,0.0283980369567871,0.2415384650230407,1.3271865844726562,,0.242428719997406,,0.0328586101531982,0.0581536293029785,0.0003855731338262,,,0.4001723527908325,,0.6398108005523682,1.0,0.9583048820495604,,,,,,,0.0007115411572158,0.0390371084213256,0.0589164495468139,,,,[16],False,1.0
1,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,binary,,0.0121394991874694,,,1.2650787882481784,0.3546997904777527,,0.0868988633155822,,0.184199571609497,0.493798017501831,,,,0.9836364984512328,0.1278648972511291,1.0,0.7276878356933594,0.7714748978614807,1975.360257766209,,,,0.6676830053329468,,0.2675401568412781,,,2177.0445806980133,0.5836002826690674,0.0702607035636901,,0.0928153991699218,1.053098440170288,0.2923814654350281,0.3319326639175415,,0.4223544597625733,,0.0865925550460815,0.0143762826919555,0.3249996304512024,,0.2216708660125732,,,0.6039621233940125,0.314566433429718,,0.7992345094680786,0.1598442792892456,0.837006151676178,,,0.4558497667312622,,,,,,0.5621824264526367,,0.0833663940429687,,,,0.7519214749336243,,,,0.0340573787689209,0.0259931087493896,0.2477884888648986,1.2840001583099363,,0.2375478148460388,,0.0353987216949462,0.0573024153709411,0.000357761979103,,,0.4161599278450012,,0.5613220930099487,0.652672529220581,0.659569501876831,,,,,,,0.0005122916772961,0.0391217470169067,0.0590444803237915,,,,[16],False,1.0
4,cpu,ACSIncome,512.0,"[512, 256, 64]",0.0001,laftr,,,1.0,40.0,intersectional,,0.0033628344535827,,,3.506090453357321,0.3672683238983154,,0.0800616145133972,,0.3054543733596802,0.9692097306251526,,,,1.0360925197601318,0.1385166049003601,1.0,1.0,0.7660168409347534,2275.1232448313385,,,,0.647739052772522,,0.2737406492233276,,,2472.222339868545,0.576871931552887,0.0573102831840515,,0.0982148647308349,1.015028715133667,0.3053222298622131,0.3207666277885437,,0.6847483515739441,,0.0977897644042968,0.0046238899230957,0.340650737285614,,0.2240648865699768,,,0.6015973091125488,0.3210737109184265,,1.0,0.3092262744903564,0.8279454112052917,,,0.4515610337257385,,,,,,0.5684330463409424,,0.0857407450675964,,,,0.9956520795822144,,,,0.0365351438522338,0.0371866226196289,0.2395185828208923,1.2365245819091797,,0.2476537823677063,,0.0091806650161743,0.0563575625419616,0.0001087132841348,,,0.401262879371643,,0.6089476346969604,1.0,0.99221670627594,,,,,,,0.0005247090011835,0.0460875034332275,0.0741609334945678,,,,[16],False,0.0
